article_id,collected_at,published_at,source,title,url,summary,classified,category,event_tags,signal_type,sector,woomi_relevance,claude_rationale,access_limited,korean_summary
5bc7b960f9ef,2026-09-04 13:02:35,2025-09-10 07:00:00,Player — The Dinerstein Companies,What’s that 19-acre complex being built near Loop 101 in north Scottsdale? - azcentral.com,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNYU4tZW5oblE1SFRDZV9SRWxodVBjZ1Jxdi1SRUNtNldHSVBRRWtqbGE2TVFUYWkzVE1BWlBZVWdWQjN6QngycDJDOTNsNGZuaGpITFBSM0JJQzVTMUsyd3JxdzBDRlhfQjExSnlnZF9IeU9xZUFyTkkwRFNQRFA0aEU3UDBFYXVNQjNoZVR4UkI5enU2V0tmM21LUkV4ZlRjYnZoV3FFcGZEemxDc3ZkallyUkMwOXphZkNjakwxeHQ0ejZLYTlBaWxqR3NWRVVNd2loQUF3?oc=5,What’s that 19-acre complex being built near Loop 101 in north Scottsdale?    azcentral.com,False,,,,Student Housing,,,False,
f0ca8dbe1e95,2026-09-04 13:02:41,2025-09-05 07:00:00,Player — Campus Advantage,Yugo Acquisition Expands Student Housing Portfolio - credaily.com,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOdmdFRmVWU3RPU0h5alcwOENaTGhkbmZENkVYWFgwYTRWZVhRLVY1YmhoVWZQMWNVejZtMFd5NzNiVDMyc1daNC1MRGJtcUR3UjAzVHl6RE9aUmgzcWdMZnE5WV9oUURsWmg0dW1VRURuNHM0MTVyT1p6UkhYZnhrbWVEOHBjczNSam04?oc=5,Yugo Acquisition Expands Student Housing Portfolio    credaily.com,False,,,,Student Housing,,,False,
1b9812ba5bca,2026-09-04 13:02:47,2025-09-20 07:00:00,Player — Campus Apartments,"I turned my $2,000 bar mitzvah money into a $2 billion student housing company. Here’s what I learne - Fortune",https://news.google.com/rss/articles/CBMixwFBVV95cUxOWDhta1FSWk9sb3BWbTVyRHNLRkExWnZPME9PSWFuRjdDYkhGTjBGMjBEd2VmQjNlNnBpSEV2N1ZKZDJGV3VkOTM2WmhjY19aM0FsdTVZc1o3ZTRTYTRVaDcwejF1NzFEOWZjaFZFUDN5dGRTQmpGUWg4a0hFbWFheEt5dnhkeTVRdGo2TmN4Z2JENVNqRGJWRkc2NWNzcWd6MG4tbHc1SjY4QnNMV3NFLUdPZ0UycUhrRHN6QjFKaTlDbXp2V244?oc=5,"I turned my $2,000 bar mitzvah money into a $2 billion student housing company. Here’s what I learne    Fortune",False,,,,Student Housing,,,False,
3e208b825435,2026-09-04 13:02:47,2025-09-18 07:00:00,Player — Campus Apartments,The cost of student housing in Indy - Axios,https://news.google.com/rss/articles/CBMigwFBVV95cUxNSkc1MkxzeFA1LVJrdW1yU2o0OVNJWnpxSHVhVjRabWZLdmZlbWR2dHBUci05X0pIM3NZNUJuWUdZSVZjdURwSy15SkZGeWJIWnFZQTdhWkU4eWcxZHZ1alNOTWNxalNrZlZncTBCYk40TFhPY252b00wbHNqdnJFdHl6bw?oc=5,The cost of student housing in Indy    Axios,False,,,,Student Housing,,,False,
a36bf7aab40b,2026-09-04 13:02:51,2025-09-23 07:00:00,Player — Subtext,Subtext Marks Opening of New Student Housing in Ann Arbor - Global Student Living,https://news.google.com/rss/articles/CBMipgFBVV95cUxOT083VjMzaXZUQlFEMlVMbG0tZE1VcTlmWGxjeDhMY0RZQ2M0Ql80anpIa2MxNkFUamRoNUttTFM4bHpUWnprdFBLT1A1VVhmMVZXMmxONU1tZW43OTBZRWRKYWRRRTAwcVZRVTYyMzdMcWFGeVVjSVZfc2JqYm5WeE1EQzhGanZFQ3F2bC1QWkgyNmJENHN2d0ZtdEFjWk5iQm9jbGVB?oc=5,Subtext Marks Opening of New Student Housing in Ann Arbor    Global Student Living,False,,,,Student Housing,,,False,
092e795327d9,2026-09-04 13:02:51,2025-09-17 07:00:00,Player — Subtext,Student Housing Evolves Beyond Beds to Wellness and Connection - Multifamily Executive,https://news.google.com/rss/articles/CBMitgFBVV95cUxPN2dyTmJxZjF5Zm55QldQeUtIdkx2VS0xeGdSQzlBWGw3bUVHakJ4SWl4WnFReEJqcGFQbHpaLXAtR2c2T05OSERqOHd3MVVJQmhsMjZFVXRfQnRDYkJWQ2Q3WnZQejhBekI1MjdPN3paX29XQzZsTHVENm9jaTlCQVlud2lzVkVBS2lFdzFtYzJtcndYLVpFZGd0VzlFLWt2WnlBU29aUHFBbTZ6VzVjOVVpc0FoQQ?oc=5,Student Housing Evolves Beyond Beds to Wellness and Connection    Multifamily Executive,False,,,,Student Housing,,,False,
4a149e2e131b,2026-09-04 13:02:55,2025-09-17 07:00:00,Player — Fountain Residential Partners,Adaptive reuse project moves forward at 5150 PCH in Long Beach - la.urbanize.city,https://news.google.com/rss/articles/CBMijwFBVV95cUxOWUJicWFGeVViaW1yZzYwZmZvdktPMm40NU1RblZHcnJpM21nbGJfa3AzSGhvRzQ1WmVYSVN2bUYxN3pSWGZiaDdrLXphbGZOQUw2MHBRQ21fbWxfN2J3TmZReTNxNmwyX2xRMm5oRzNqZjZYbVZUTW1UaHR0ZG02S1dlbDJpNlFIMUpzT196dw?oc=5,Adaptive reuse project moves forward at 5150 PCH in Long Beach    la.urbanize.city,False,,,,Student Housing,,,False,
2d7a6af128c9,2026-09-04 13:02:57,2025-09-22 07:00:00,Player — Greystar,Greystar JV Develops Sacramento Student Community - Multifamily Housing News,https://news.google.com/rss/articles/CBMiiwFBVV95cUxObmVEeWxLVnpmTGgtTVZjUm93VzFCNnZQQm1uRUtPMm5rcmNTbVhmRHllYnhORDFnYUlKVUpVa3ZNZzlEdFg4LVJweF9GUEhnMXY4Tkc4TlExWjVTUnNZeGkzTWROVzlKUW9hVmJiNFRxTlBhV1ZVZ093b0hsYTRwV3BuOU9DLTJSOTRv?oc=5,Greystar JV Develops Sacramento Student Community    Multifamily Housing News,False,,,,Student Housing,,,False,
980170b38785,2026-09-04 13:03:01,2025-09-17 07:00:00,Player — Affinius Capital,"Affinius Capital, Axonic Capital Make $48M Construction Loan for Long Island Campus - Commercial Observer",https://news.google.com/rss/articles/CBMimwFBVV95cUxPaFNubU14VDFweHJSdzAxV0pqSk5lRENjSUZYdkJhY3N5OTZiQmNnZzQ3NzZJdjZob1FKQ3BJcm5NY0JwR1Vnd3FVb0EwYVp1bktLSnNEQmpMU21XVU9iTUxRWHVIbGdPbWJJS0pxa3pINV9RWHBxOXJkOG1lT1B4bmpGZEZPMUVZUnVRMzF1SWUwZjhaOWRrVExyaw?oc=5,"Affinius Capital, Axonic Capital Make $48M Construction Loan for Long Island Campus    Commercial Observer",False,,,,Student Housing,,,False,
25ffb6ddda57,2026-09-04 13:03:01,2025-09-23 07:00:00,Player — Affinius Capital,"TCC, Affinius Capital Break Ground on 778,720 SF Sequoia Logistics Center in Canby, Oregon - REBusinessOnline",https://news.google.com/rss/articles/CBMiuAFBVV95cUxQVFNkZDhBV3Q1M1NqSWxjQ1JyNVlxdzU1V3NqbHhTTkg5QVltcE51S0xRZERvQmU5MEM0WUJoelJxWldUbGdsb3lpU05kRHM0SWx4MmhNaXhpb1o5YjlzYnA5Ti03cXFMV2gyeVlLNmU3T2UyTmRvYnc1TVRpQy1VTnE5aUdmZnNBZkpUQjZIR1NwTnc5eGt4TG96V0NRLTNST2VRTm5uQlBqQXp6ZmVEbjRBdXprX1RU?oc=5,"TCC, Affinius Capital Break Ground on 778,720 SF Sequoia Logistics Center in Canby, Oregon    REBusinessOnline",False,,,,Student Housing,,,False,
